uniqueSampleKey,uniquePatientKey,entrezGeneId,molecularProfileId,sampleId,patientId,studyId,value
QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,94025,ucec_cptac_2020_protein_quantification,C3L-00006,C3L-00006,ucec_cptac_2020,-0.235
QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,6772,ucec_cptac_2020_protein_quantification,C3L-00006,C3L-00006,ucec_cptac_2020,0.853
QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,7040,ucec_cptac_2020_protein_quantification,C3L-00006,C3L-00006,ucec_cptac_2020,-0.792
QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,79679,ucec_cptac_2020_protein_quantification,C3L-00006,C3L-00006,ucec_cptac_2020,0.905
QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,898,ucec_cptac_2020_protein_quantification,C3L-00006,C3L-00006,ucec_cptac_2020,0.0275
QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,925,ucec_cptac_2020_protein_quantification,C3L-00006,C3L-00006,ucec_cptac_2020,0.282
QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,80381,ucec_cptac_2020_protein_quantification,C3L-00006,C3L-00006,ucec_cptac_2020,0.273
QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA2OnVjZWNfY3B0YWNfMjAyMA,1515,ucec_cptac_2020_protein_quantification,C3L-00006,C3L-00006,ucec_cptac_2020,0.0417
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,3002,ucec_cptac_2020_protein_quantification,C3L-00008,C3L-00008,ucec_cptac_2020,-1.18
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,3394,ucec_cptac_2020_protein_quantification,C3L-00008,C3L-00008,ucec_cptac_2020,-0.403
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,94025,ucec_cptac_2020_protein_quantification,C3L-00008,C3L-00008,ucec_cptac_2020,2.78
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,6772,ucec_cptac_2020_protein_quantification,C3L-00008,C3L-00008,ucec_cptac_2020,-0.298
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,7040,ucec_cptac_2020_protein_quantification,C3L-00008,C3L-00008,ucec_cptac_2020,-1.15
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,79679,ucec_cptac_2020_protein_quantification,C3L-00008,C3L-00008,ucec_cptac_2020,-0.625
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,898,ucec_cptac_2020_protein_quantification,C3L-00008,C3L-00008,ucec_cptac_2020,1.16
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,925,ucec_cptac_2020_protein_quantification,C3L-00008,C3L-00008,ucec_cptac_2020,-1.4
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,968,ucec_cptac_2020_protein_quantification,C3L-00008,C3L-00008,ucec_cptac_2020,-0.796
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,80381,ucec_cptac_2020_protein_quantification,C3L-00008,C3L-00008,ucec_cptac_2020,-0.03
QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDA4OnVjZWNfY3B0YWNfMjAyMA,1515,ucec_cptac_2020_protein_quantification,C3L-00008,C3L-00008,ucec_cptac_2020,0.987
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,94025,ucec_cptac_2020_protein_quantification,C3L-00032,C3L-00032,ucec_cptac_2020,1.53
