gene,mean_pos,mean_neg,log2FC,pvalue,u_stat,FDR
APOB,3.0188111111111113,0.056689777777777776,4.315013210830502,0.8596720030025036,22523.0,0.9360728864326033
APOA2,30.389804040404037,1.5150533333333334,4.2386731656744585,0.05720602800428636,24892.5,0.19289442149057487
AHSG,4.347342424242425,0.293884,3.497100770231269,0.04853755008541079,19474.5,0.1724713066160528
SERPIND1,13.841757575757576,1.2279882222222223,3.3920981901040976,0.47410311390434023,21252.0,0.6963539086096359
PLA2G2D,23.54638888888889,2.173055777777778,3.3789148905623074,1.955126776246118e-35,40027.0,1.990514217111672e-33
PPBP,7.14766868686869,0.6484397777777776,3.2755588653753596,0.3504683773567926,23596.0,0.5895966203908496
CXCL9,130.72199595959594,15.930452222222224,3.028718101112323,4.305678060852784e-40,41214.0,8.025783905429589e-38
CALB2,63.34621616161617,7.8765246666666675,2.991701913254298,0.287609743133582,23795.0,0.5288116842365703
FTHL17,1.3628010101010102,0.08575977777777778,2.9772234714587986,0.38244450270778474,21521.0,0.619797769516128
IFNG,5.359427272727273,0.6317964444444445,2.8992353003287037,1.911450619724818e-37,40503.0,2.4915691994175253e-35
CXCL11,44.90977777777778,6.428784,2.7853522250046865,6.38589713162958e-36,40155.0,6.8805273140795016e-34
LCE3E,1.5341212121212122,0.1458622222222222,2.732593019562413,0.5811239323587429,21798.5,0.7740812711578904
CTSE,22.225918181818184,3.261734666666667,2.7314417433789386,5.03353980214092e-05,28068.0,0.0006853556019861705
FAM9C,0.9045616161616161,0.05204955555555556,2.7239525520041945,0.5519068989136698,23005.0,0.7543836632828766
HPR,4.166555555555556,0.5522988888888889,2.7094667575369407,0.635097469048195,22936.0,0.8093953796703374
SLAMF7,23.96821111111111,3.6926557777777775,2.6658485729570875,1.1336080930657444e-44,42313.0,4.8023761033512454e-42
GZMH,30.207439393939392,4.714522222222222,2.654207425429312,3.989950974720461e-37,40467.0,5.025181497891176e-35
DPEP3,9.630615151515151,1.4465233333333332,2.653502412000446,4.962433724635819e-13,32427.0,1.3386362464140616e-11
MS4A1,3.2721747474747485,0.4429786666666667,2.6347118777036,3.5031508229435473e-32,39136.0,2.8639794447222682e-30
NKG7,140.50226161616163,23.371543111111112,2.582635202131794,1.0179178951932419e-40,41368.0,2.1809183409657505e-38
GBP5,24.115748484848485,4.021997333333332,2.5545301192469387,1.824845000397452e-38,40808.0,2.6574305318287897e-36
LYZ,198.81445454545457,33.78488466666666,2.553434350410592,2.2275369511183822e-29,38356.0,1.4829031703159516e-27
CCL18,70.85640606060608,12.004973777777778,2.551332984914743,3.428957957245014e-18,34702.0,1.2362819404844692e-16
NTS,287.3690171717172,49.11854711111111,2.546132497257931,0.044013624850457775,25137.5,0.1611498658834282
PRSS38,1.0445626262626262,0.09614911111111112,2.5447737013449165,0.4994734451000755,23073.5,0.716333385909472
GC,1.8873868686868684,0.24501755555555557,2.5261310601790075,0.9435935124141199,22192.5,0.9757936666693438
CCL19,35.231995959595956,6.054067555555555,2.5213630657384236,2.2834635218858213e-27,37761.0,1.330117501498491e-25
CXCL13,68.84382525252525,11.944214222222223,2.517081073223372,8.533597580586759e-36,40122.0,9.037855619439614e-34
SUCNR1,3.118220202020203,0.46571755555555555,2.5081091967083045,3.0670241841665494e-26,37418.0,1.6475311467684288e-24
CHIT1,8.64759797979798,1.4410728888888888,2.5049518195157243,1.4245677790063052e-11,31928.5,3.4847694751545315e-10
GZMB,69.93195656565656,12.249039999999999,2.5036145015842797,9.245759288177711e-32,39033.0,7.364997997078314e-30
CD8A,34.2084797979798,5.974951111111111,2.497620498158607,7.162449120984614e-45,42359.5,3.3377012903788304e-42
SIRPG,10.573690909090912,1.8119500000000002,2.4809424386305494,1.768741610450165e-47,42958.0,2.0605839761744425e-44
SOX10,1.027528282828283,0.10460844444444443,2.4622260291408176,0.962386353017134,22342.0,0.9846840532390432
LAG3,32.586630303030304,5.915195777777779,2.4420170569540467,1.1659769306284844e-38,40857.0,1.7669764217004025e-36
CCL5,222.66020606060604,40.91100133333334,2.441408657932271,7.028138936995834e-47,42822.0,6.238309989790587e-44
CXCL10,216.3787,40.075348444444444,2.429842639074439,3.88409159242669e-37,40470.0,4.925133828764184e-35
ODAM,50.1388606060606,9.24677488888889,2.4262631918900035,0.8161737709095077,21943.0,0.9145235676541363
CD79A,49.02476464646463,9.10921688888889,2.415300109296524,1.118022069733318e-31,39010.0,8.79321999148905e-30
TM4SF4,12.856068686868689,2.3763677777777774,2.3873305243029015,0.009924026954685835,25936.0,0.05468042046566478
DPPA2,7.9124717171717185,1.434137111111111,2.3848199320206134,0.0001482728108749441,27531.5,0.0018135204689691325
TNFRSF17,7.842088888888889,1.4307942222222225,2.3752381469126416,7.470452563000792e-29,38187.0,4.8350429088310676e-27
KRT79,2.4959646464646466,0.4082631111111111,2.3526233046124805,0.5703311836936569,23039.0,0.766869447341839
IGFBP1,14.824106060606058,2.8487942222222222,2.3394474636286997,0.17536457727498633,24192.5,0.3952594583320127
FCRLA,1.6814656565656567,0.25255177777777776,2.3371576105297334,1.5305318238924014e-31,38961.0,1.188713049889765e-29
PRF1,34.51043232323232,6.860751777777778,2.3138919283964094,1.1288034250925701e-42,41841.0,3.140432215481419e-40
TIGIT,7.000884848484848,1.3359373333333335,2.306006022565335,2.1075836863852182e-48,43166.0,4.910669989277558e-45
PDCD1,16.33628686868687,3.247446,2.2957517280122186,1.5524892890300505e-39,41076.0,2.6307636679563768e-37
DSG3,8.036629292929293,1.5815573333333333,2.274633293676062,0.24970860359012315,20644.0,0.486535784322761
CD3D,77.82719494949494,16.073083777777775,2.268532097646562,2.0841302438025756e-45,42484.0,1.153985019082357e-42
GZMK,6.762271717171715,1.327113111111111,2.265586566238057,6.004932055051125e-37,40420.0,7.363942993825853e-35
AIM2,6.577076767676767,1.290582,2.2635278070766445,3.0098090926310063e-41,41497.0,6.841809937395362e-39
CALHM6,7.651536363636363,1.5186113333333333,2.2597256803833714,2.6965947879846984e-36,40252.0,3.027983545062336e-34
DSG1,1.3464868686868687,0.20339266666666667,2.2532951068379234,0.4570412060480914,23325.5,0.6825773640522734
SH2D1A,4.9903424242424235,0.9760586666666665,2.242005973081388,5.537371910687749e-45,42385.5,2.7162266425057802e-42
ADAMDEC1,20.303600000000003,4.214178666666666,2.241665892600826,1.415800304974922e-29,38413.0,9.631575797347644e-28
CXCR3,20.952930303030307,4.361363333333333,2.2384645012051987,1.1922516295278581e-43,42073.0,3.8988719955086445e-41
IRF4,4.808448484848485,0.9481193333333333,2.227464090175989,1.545576030252431e-37,40572.5,2.028840648162346e-35
MZB1,44.12810909090908,9.410615333333332,2.2173529721472285,8.262075442663459e-29,38190.0,5.310520215560237e-27
FGF17,7.791675757575759,1.5981582222222221,2.2163607966445085,0.009973534491712052,18592.5,0.05485804626130249
NOS2,3.992121212121212,0.7817248888888889,2.214448390502601,0.0004996384780893308,27249.5,0.005112538662242373
SFTPB,52.48555151515151,11.23160622222222,2.214314083436932,0.44459448957723124,23367.0,0.6715754688589619
IGLL5,6.259542424242424,1.2708371111111112,2.2138658118828496,8.232507432807778e-28,37843.0,4.902681742732811e-26
ZNF683,12.081261616161617,2.526073555555556,2.213684329873557,3.0840275333306615e-34,39709.5,2.777114648371185e-32
CD2,57.51474646464647,12.447191111111108,2.199073685960736,1.1601931351857462e-48,43224.0,3.604333339977051e-45
CLEC12A,1.7998474747474746,0.314078,2.197909140128834,1.327834027043791e-34,39805.0,1.2375413132048133e-32
CD38,9.123044444444446,1.9115668888888886,2.1969233385460196,1.261691633484248e-37,40595.0,1.6679384431309493e-35
LILRB4,18.449970707070705,3.952440888888889,2.194553861563093,5.197464154312094e-38,40693.0,7.284265551607326e-36
SELL,19.417747474747475,4.167486222222222,2.1933281618373726,6.063868409873633e-38,40676.0,8.435112474630188e-36
JCHAIN,325.1589262626263,71.34566555555556,2.18667025607944,7.779108698967555e-28,37902.0,4.662462577130393e-26
CD3E,48.762986868686866,10.656118,2.183584567039955,2.8682332770228816e-48,43136.0,5.346386828370651e-45
SLAMF6,8.700134343434344,1.8668733333333332,2.1616214971664283,5.457489545614233e-47,42847.0,5.354084480539437e-44
CCL4,27.664117171717177,6.149995555555556,2.1512944536569467,3.4228684682899336e-42,41725.5,8.986234964637234e-40
HSD11B1,7.5712494949494955,1.637512,2.142438641641656,2.9241022524324296e-21,35801.0,1.2220911655905938e-19
HLA-DQA1,83.9023606060606,18.98979888888889,2.1376279665678317,3.2932690635072056e-36,40230.0,3.6323393694541014e-34
LCE3D,1.5989343434343435,0.28678333333333333,2.1350325646970796,0.6650187887391303,22678.0,0.8278868778532953
CCR2,4.075603030303031,0.8555164444444444,2.1276319557761982,1.2194212193655821e-39,41102.0,2.104630697127264e-37
PYHIN1,3.0390878787878792,0.6196051111111112,2.1250680790313505,1.4702894476805892e-45,42519.0,8.978083491383714e-43
FCRL3,1.5439131313131313,0.2769611111111111,2.1246464634258726,1.2310689608634513e-40,41346.5,2.5496806033883035e-38
CTSW,29.79758080808081,6.785606888888888,2.1183730296329175,4.255497919462929e-34,39672.0,3.8135808278263936e-32
CRTAM,2.635575757575758,0.5346542222222223,2.1078018199912867,2.4420476898465904e-43,41999.0,7.462257203072204e-41
SP140,4.35250909090909,0.936125111111111,2.1034203393699813,2.351574027597422e-47,42930.0,2.435185548578664e-44
TFF2,52.68972828282829,12.18765,2.103048212047182,0.5104975898023205,21344.0,0.7244994778458608
TRAT1,2.1722424242424245,0.42897577777777773,2.1028431965520697,4.684171217607469e-42,41687.0,1.2126798818917114e-39
GZMM,16.78757575757576,3.832600888888889,2.10240655864709,6.796245288595129e-40,41165.0,1.2180962709558962e-37
CD3G,5.529749494949494,1.2115675555555556,2.101778609502445,6.645106906291439e-49,43278.0,3.096619818331811e-45
TBX21,3.7426656565656566,0.8001528888888889,2.0938654897709257,1.5209858537129952e-46,42745.5,1.2326598397047926e-43
FASLG,5.781639393939395,1.2845506666666668,2.0868004855386784,4.871828541340918e-39,40952.0,7.695837628016502e-37
IL21R,3.754051515151515,0.811679111111111,2.079777830277991,6.184677365113245e-48,43061.0,8.867875852746993e-45
CD27,15.591555555555551,3.647518,2.0659810656788804,1.4409422554281247e-40,41331.0,2.947037862735372e-38
TLR8,2.934004040404041,0.6307688888888889,2.0537358864758435,2.122672496886851e-33,39483.5,1.840307690324228e-31
C1QA,612.549791919192,147.90077577777777,2.0494578858635824,4.5806447731105344e-35,39930.0,4.44704263389481e-33
CD7,39.19781616161617,9.41669488888889,2.0459166187358737,7.529887068153622e-42,41643.0,1.9148975168144075e-39
SIT1,14.28673939393939,3.3852506666666664,2.045405330533349,1.2266644886096573e-44,42305.0,5.08111690392978e-42
CXCR6,9.739993939393939,2.2844,2.0450311485649872,2.2343758023577883e-45,42477.0,1.1899647130271193e-42
GPR25,2.7546464646464646,0.5920137777777779,2.044439418376276,2.1516592194549265e-28,38030.5,1.3413688244361146e-26
VTN,2.555351515151515,0.5441324444444444,2.0434735912132322,0.16944853505639212,24238.0,0.3868839653908806
GBP4,46.018195959595964,11.143125555555555,2.036292922840053,1.6808715268486156e-38,40817.0,2.4670429338943463e-36
SLAMF8,6.098304040404041,1.4130575555555556,2.0344066563973366,9.24583597552148e-37,40373.0,1.1047588627161564e-34
GZMA,70.59106565656566,17.195483555555555,2.0311325406140446,3.958912886034702e-40,41223.0,7.60764290677184e-38
CCL4L2,19.139189898989898,4.611968666666667,2.0296462023174993,5.515620561633286e-28,37946.5,3.3598420676092956e-26
IL2RG,29.60820101010101,7.1926233333333345,2.026351459547505,1.6927724649054931e-43,42037.0,5.34801334675227e-41
CCR5,13.11190101010101,3.1592102222222223,2.01924374999287,1.8965296423058672e-49,43399.0,1.7675656266290682e-45
GPR174,2.793634343434344,0.6148704444444444,2.017128914092864,3.1219187575723116e-44,42210.0,1.1638513128229577e-41
C1QB,565.1614525252525,140.30269777777778,2.00934766043529,7.197208792409863e-35,39878.0,6.84469244339387e-33
BNIP5,2.209338383838384,0.4742775555555555,2.007659501307936,0.9795899478963208,22312.0,0.9935872078155186
MRC1,6.3701474747474744,1.5111808888888891,2.0056801201394574,3.860250681646907e-17,34303.0,1.3011767216256482e-15
MARCO,16.72328787878788,4.131433555555556,1.9912412700342605,7.01149742105483e-09,30550.0,1.4221361472085096e-07
P2RY10,4.591125252525253,1.0831017777777778,1.987359832523966,1.6809924684180285e-44,42273.0,6.52785408569001e-42
SLAMF1,3.263041414141414,0.7485539999999999,1.986688167474333,7.471272745367505e-48,43042.5,9.947465998117878e-45
BATF2,33.30479191919191,8.369407555555556,1.9797221121428614,1.1087993812641963e-27,37856.0,6.561276338655435e-26
ICOS,3.312072727272727,0.7660584444444445,1.97811210647183,4.1646125773784355e-44,42180.5,1.4375625637469265e-41
FCRL5,1.4060666666666668,0.28243355555555555,1.9775046137192573,1.7678592029808734e-29,38383.0,1.189635218179187e-27
TCL1A,1.8265454545454545,0.3929231111111111,1.9665816954026325,3.210950266383608e-22,36098.5,1.4353024691940157e-20
SLA2,7.191091919191918,1.7702424444444445,1.9629095871971967,1.5404689501912313e-49,43419.0,1.7675656266290682e-45
IL12RB1,5.7229777777777775,1.3992277777777775,1.9575375243347288,1.961270679547886e-48,43173.0,4.910669989277558e-45
GNLY,43.68144747474748,11.244703777777778,1.9483007135779646,1.9992433102455735e-19,35155.0,7.58979537738849e-18
KIR2DL4,2.9142656565656564,0.6814260000000001,1.9476254082103233,1.330648894099979e-25,37216.0,6.947701788802132e-24
CCL8,22.583433333333332,5.801484666666666,1.9424891697330262,4.177058507907213e-20,35398.0,1.635722071163665e-18
POU2AF1,6.565718181818181,1.6452846666666667,1.9332979553410095,1.4814174923132726e-28,38115.5,9.266316126415907e-27
SIGLEC10,10.930710101010103,2.7889786666666665,1.932894211649861,7.352510359907633e-36,40139.0,7.831473891924472e-34
CLEC4E,7.09270808080808,1.7885504444444444,1.929255733244616,2.958193481556667e-20,35451.0,1.1757084540771062e-18
CD48,10.483400000000001,2.681336,1.9279532335125829,9.214457664697372e-45,42334.0,3.994360252789745e-42
TNFRSF13B,0.9933111111111111,0.18904644444444443,1.9193307597456382,2.6158562172585133e-28,38003.0,1.619918933212581e-26
ZBP1,3.8357171717171714,0.9499313333333331,1.9063315724028485,8.30422532940951e-35,39861.5,7.857398991887984e-33
EOMES,2.9847949494949493,0.7245137777777778,1.9035590879874265,4.107642212602716e-36,40205.0,4.503908873112625e-34
UBASH3A,3.0801959595959594,0.7508773333333334,1.902092599273871,2.1049082966094496e-45,42483.0,1.153985019082357e-42
APOL3,20.16710808080808,5.3278126666666665,1.9006974108057781,8.347983978014016e-45,42344.0,3.7049147940519343e-42
TIFAB,0.918339393939394,0.17321666666666666,1.8981010672913665,2.011284311917442e-36,40283.5,2.28599631549641e-34
LAX1,2.849090909090909,0.6916935555555557,1.8972562829044486,1.9540855118537856e-34,39762.5,1.7854977422036551e-32
IL2RB,28.436095959595963,7.568361777777778,1.895797665185736,6.513569839756605e-43,41898.0,1.897077215829111e-40
CD247,9.376319191919192,2.478449111111111,1.8778232214115609,5.014532079887655e-48,43081.5,7.789239830758825e-45
SPN,7.851511111111111,2.076880222222222,1.8689670285289555,5.753637260053354e-46,42613.0,3.9721406861997975e-43
NCF1,5.290943434343434,1.376388,1.8684658552559144,2.3609406657538847e-35,40006.0,2.3660179575081942e-33
PLEK,27.430627272727268,7.4464093333333325,1.8671752192150426,1.1022514258939844e-41,41603.0,2.7034166550873513e-39
SLC2A2,0.533059595959596,0.07485177777777777,1.8562088562571764,0.04262881003649861,24248.5,0.15775283285295497
GPR171,4.775518181818181,1.2487355555555557,1.8539480510344768,2.3452883749004422e-37,40526.0,3.035845507510017e-35
KNG1,0.9331636363636364,0.18638488888888888,1.851041495939788,0.05377930144710347,24952.0,0.18462149448978768
EVI2B,20.530911111111113,5.624883777777778,1.8494892254204847,1.5386757282938527e-44,42282.0,6.234981646825525e-42
PTPRC,16.49903131313131,4.519692444444444,1.8452303385043893,1.690952148981142e-42,41799.0,4.568021457537462e-40
DOK2,21.336632323232323,5.876372,1.8427364206661943,2.179604040303252e-43,42011.0,6.771303218542104e-41
ITGAL,12.131790909090908,3.322753777777778,1.8374062322980267,5.858216688168293e-47,42840.0,5.459857953372849e-44
FDCSP,19.628549494949496,5.4515577777777775,1.8293203320974767,3.876256899366998e-07,29352.5,7.0559988871289885e-06
LGALS2,18.15697777777778,5.042945333333334,1.827781240509574,1.5594148594032116e-24,36884.0,7.649340257704175e-23
SCIMP,3.374373737373738,0.878765111111111,1.8277183712893186,1.7030650660354055e-39,41066.0,2.834386859901782e-37
CTLA4,7.322655555555555,2.0006473333333332,1.8211014470531692,4.541253221661663e-37,40452.5,5.64326400345156e-35
SIGLEC8,2.0152121212121217,0.5001124444444445,1.8174975970989833,1.6119155291106985e-30,38682.5,1.1467979184207413e-28
CLDN2,19.571594949494948,5.48183111111111,1.8173035556529722,0.5007434317190029,23237.5,0.7175220038392803
KLRC1,1.447636363636364,0.3397444444444444,1.8153292757093353,2.841318923568422e-27,37729.5,1.6246068937213308e-25
CD6,9.922654545454545,2.7507755555555553,1.813838299440404,1.6484688416298316e-44,42275.0,6.52785408569001e-42
SPINK1,54.68579696969698,15.497825555555556,1.812457006440467,0.31839381155736113,23699.5,0.5601165669758931
CYBB,40.17398181818182,11.36645888888889,1.8124281939605056,5.93573836421599e-33,39362.0,5.006432719863623e-31
CCL3,6.457436363636364,1.7753522222222222,1.8059703188935796,6.2552328878526e-27,37629.5,3.5225843211351194e-25
HK3,9.95320606060606,2.786488888888889,1.8002680865771228,2.518636447070688e-27,37749.0,1.4534793614054993e-25
HLA-DOA,51.24187575757575,14.675217333333332,1.7969566536223824,3.3920114308843584e-24,36776.0,1.6422621577060896e-22
NUGGC,1.4375868686868685,0.3435986666666666,1.7933409860782126,5.77212228028382e-29,38235.5,3.761970605052112e-27
ITK,2.606290909090909,0.6816708888888889,1.7916837134001022,2.2155644026820113e-41,41529.5,5.098533390863296e-39
PSTPIP1,9.130711111111111,2.569745777777778,1.789739423651246,1.1125909282845969e-42,41842.5,3.140432215481419e-40
TMEM150B,4.394632323232323,1.2086375555555555,1.7801375238547208,5.374193475687753e-32,39098.5,4.317886482190505e-30
AOAH,10.217534343434345,2.9079306666666667,1.778255022440262,2.557292543480802e-38,40771.0,3.638773512250545e-36
C16orf54,6.185543434343433,1.742495111111111,1.7703766910285228,1.3980822812972967e-41,41578.0,3.341058169664309e-39
