gene,mean_pos,mean_neg,log2FC,pvalue,u_stat,FDR
PLA2G2D,23.54638888888889,2.173055777777778,3.3789148905623074,1.955126776246118e-35,40027.0,1.990514217111672e-33
CXCL9,130.72199595959594,15.930452222222224,3.028718101112323,4.305678060852784e-40,41214.0,8.025783905429589e-38
IFNG,5.359427272727273,0.6317964444444445,2.8992353003287037,1.911450619724818e-37,40503.0,2.4915691994175253e-35
CXCL11,44.90977777777778,6.428784,2.7853522250046865,6.38589713162958e-36,40155.0,6.8805273140795016e-34
CTSE,22.225918181818184,3.261734666666667,2.7314417433789386,5.03353980214092e-05,28068.0,0.0006853556019861705
SLAMF7,23.96821111111111,3.6926557777777775,2.6658485729570875,1.1336080930657444e-44,42313.0,4.8023761033512454e-42
GZMH,30.207439393939392,4.714522222222222,2.654207425429312,3.989950974720461e-37,40467.0,5.025181497891176e-35
DPEP3,9.630615151515151,1.4465233333333332,2.653502412000446,4.962433724635819e-13,32427.0,1.3386362464140616e-11
MS4A1,3.2721747474747485,0.4429786666666667,2.6347118777036,3.5031508229435473e-32,39136.0,2.8639794447222682e-30
NKG7,140.50226161616163,23.371543111111112,2.582635202131794,1.0179178951932419e-40,41368.0,2.1809183409657505e-38
GBP5,24.115748484848485,4.021997333333332,2.5545301192469387,1.824845000397452e-38,40808.0,2.6574305318287897e-36
LYZ,198.81445454545457,33.78488466666666,2.553434350410592,2.2275369511183822e-29,38356.0,1.4829031703159516e-27
CCL18,70.85640606060608,12.004973777777778,2.551332984914743,3.428957957245014e-18,34702.0,1.2362819404844692e-16
CCL19,35.231995959595956,6.054067555555555,2.5213630657384236,2.2834635218858213e-27,37761.0,1.330117501498491e-25
CXCL13,68.84382525252525,11.944214222222223,2.517081073223372,8.533597580586759e-36,40122.0,9.037855619439614e-34
SUCNR1,3.118220202020203,0.46571755555555555,2.5081091967083045,3.0670241841665494e-26,37418.0,1.6475311467684288e-24
CHIT1,8.64759797979798,1.4410728888888888,2.5049518195157243,1.4245677790063052e-11,31928.5,3.4847694751545315e-10
GZMB,69.93195656565656,12.249039999999999,2.5036145015842797,9.245759288177711e-32,39033.0,7.364997997078314e-30
CD8A,34.2084797979798,5.974951111111111,2.497620498158607,7.162449120984614e-45,42359.5,3.3377012903788304e-42
SIRPG,10.573690909090912,1.8119500000000002,2.4809424386305494,1.768741610450165e-47,42958.0,2.0605839761744425e-44
LAG3,32.586630303030304,5.915195777777779,2.4420170569540467,1.1659769306284844e-38,40857.0,1.7669764217004025e-36
CCL5,222.66020606060604,40.91100133333334,2.441408657932271,7.028138936995834e-47,42822.0,6.238309989790587e-44
CXCL10,216.3787,40.075348444444444,2.429842639074439,3.88409159242669e-37,40470.0,4.925133828764184e-35
CD79A,49.02476464646463,9.10921688888889,2.415300109296524,1.118022069733318e-31,39010.0,8.79321999148905e-30
DPPA2,7.9124717171717185,1.434137111111111,2.3848199320206134,0.0001482728108749441,27531.5,0.0018135204689691325
TNFRSF17,7.842088888888889,1.4307942222222225,2.3752381469126416,7.470452563000792e-29,38187.0,4.8350429088310676e-27
FCRLA,1.6814656565656567,0.25255177777777776,2.3371576105297334,1.5305318238924014e-31,38961.0,1.188713049889765e-29
PRF1,34.51043232323232,6.860751777777778,2.3138919283964094,1.1288034250925701e-42,41841.0,3.140432215481419e-40
TIGIT,7.000884848484848,1.3359373333333335,2.306006022565335,2.1075836863852182e-48,43166.0,4.910669989277558e-45
PDCD1,16.33628686868687,3.247446,2.2957517280122186,1.5524892890300505e-39,41076.0,2.6307636679563768e-37
CD3D,77.82719494949494,16.073083777777775,2.268532097646562,2.0841302438025756e-45,42484.0,1.153985019082357e-42
GZMK,6.762271717171715,1.327113111111111,2.265586566238057,6.004932055051125e-37,40420.0,7.363942993825853e-35
AIM2,6.577076767676767,1.290582,2.2635278070766445,3.0098090926310063e-41,41497.0,6.841809937395362e-39
CALHM6,7.651536363636363,1.5186113333333333,2.2597256803833714,2.6965947879846984e-36,40252.0,3.027983545062336e-34
SH2D1A,4.9903424242424235,0.9760586666666665,2.242005973081388,5.537371910687749e-45,42385.5,2.7162266425057802e-42
ADAMDEC1,20.303600000000003,4.214178666666666,2.241665892600826,1.415800304974922e-29,38413.0,9.631575797347644e-28
CXCR3,20.952930303030307,4.361363333333333,2.2384645012051987,1.1922516295278581e-43,42073.0,3.8988719955086445e-41
IRF4,4.808448484848485,0.9481193333333333,2.227464090175989,1.545576030252431e-37,40572.5,2.028840648162346e-35
MZB1,44.12810909090908,9.410615333333332,2.2173529721472285,8.262075442663459e-29,38190.0,5.310520215560237e-27
NOS2,3.992121212121212,0.7817248888888889,2.214448390502601,0.0004996384780893308,27249.5,0.005112538662242373
IGLL5,6.259542424242424,1.2708371111111112,2.2138658118828496,8.232507432807778e-28,37843.0,4.902681742732811e-26
ZNF683,12.081261616161617,2.526073555555556,2.213684329873557,3.0840275333306615e-34,39709.5,2.777114648371185e-32
CD2,57.51474646464647,12.447191111111108,2.199073685960736,1.1601931351857462e-48,43224.0,3.604333339977051e-45
CLEC12A,1.7998474747474746,0.314078,2.197909140128834,1.327834027043791e-34,39805.0,1.2375413132048133e-32
CD38,9.123044444444446,1.9115668888888886,2.1969233385460196,1.261691633484248e-37,40595.0,1.6679384431309493e-35
LILRB4,18.449970707070705,3.952440888888889,2.194553861563093,5.197464154312094e-38,40693.0,7.284265551607326e-36
SELL,19.417747474747475,4.167486222222222,2.1933281618373726,6.063868409873633e-38,40676.0,8.435112474630188e-36
JCHAIN,325.1589262626263,71.34566555555556,2.18667025607944,7.779108698967555e-28,37902.0,4.662462577130393e-26
CD3E,48.762986868686866,10.656118,2.183584567039955,2.8682332770228816e-48,43136.0,5.346386828370651e-45
SLAMF6,8.700134343434344,1.8668733333333332,2.1616214971664283,5.457489545614233e-47,42847.0,5.354084480539437e-44
