cell_type,VTCN1,CD274,CD8A,GZMK,CD68,MS4A1,EPCAM,KRT8,FOXP3
B_cell,0.31353512278697887,0.052541404911479156,0.00799543118218161,0.0005711022272986865,0.00799543118218161,0.03083952027412907,2.31296402055968,0.7926898914905768,0.0
CD4_T,0.11712473572938689,0.04312896405919662,0.01014799154334038,0.0012684989429175475,0.014799154334038054,0.0008456659619450317,2.136997885835095,0.7691331923890063,0.0
CD8_T,0.07291666666666667,0.011160714285714286,0.3802083333333333,0.09375,0.012648809523809524,0.0,1.306547619047619,0.5200892857142857,0.0
DC,0.1388888888888889,0.032407407407407406,0.004629629629629629,0.0,0.022222222222222223,0.0,1.9842592592592592,0.6648148148148149,0.0
Endothelial,0.11278648974668275,0.031966224366706875,0.0048250904704463205,0.0,0.010856453558504222,0.0,1.1592279855247285,0.4873341375150784,0.0
Epithelial,0.28392990305741983,0.029082774049217,0.004660700969425802,0.0003728560775540641,0.007457121551081283,0.0007457121551081282,3.8102162565249813,1.95413870246085,0.0
Fibroblast,0.08606173994387278,0.028999064546304958,0.002806361085126286,0.0003118178983473651,0.010601808543810414,0.0,1.109448082319925,0.4502650452135953,0.0
Macrophage,0.11261261261261261,0.08051801801801801,0.006193693693693694,0.0005630630630630631,0.4403153153153153,0.0005630630630630631,1.4701576576576576,0.5281531531531531,0.0
Mast,0.527363184079602,0.024875621890547265,0.014925373134328358,0.004975124378109453,0.01990049751243781,0.009950248756218905,1.1741293532338308,0.5771144278606966,0.0
Monocyte,0.11795891318754141,0.030483764082173626,0.005964214711729622,0.0019880715705765406,0.015241882041086813,0.0,1.8667992047713717,0.6905235255135852,0.0006626905235255136
NK,0.14308426073131955,0.022257551669316374,0.0794912559618442,0.000794912559618442,0.01192368839427663,0.0,1.7034976152623211,0.6025437201907791,0.0
Plasma,0.14867137571476624,0.021527077026572486,0.005045408678102927,0.0006727211570803902,0.006054490413723511,0.0,1.7591658257652203,0.5930036999663639,0.0
Treg,0.18631832244757648,0.041595049845307666,0.007906497078033689,0.0,0.0048126503953248535,0.0,1.880371261601925,0.6263320728772774,0.013062908215881746
