antigen,spearman_r,pvalue,n,FDR
CLDN6,-0.031229226229284007,0.4652468600338272,549,0.6324111388134233
LEFTY1,0.0346325752458131,0.4180202992945356,549,0.5859301317449785
AOC1,0.0673260328784809,0.11509678697427451,549,0.237646529592326
KRT6A,0.05719550980415462,0.18083948057301946,549,0.32292392171289747
PI3,0.09422915455069705,0.02726229095274908,549,0.08077334897202758
ALPG,-0.010724906127164396,0.8020251573843895,549,0.8861190215593001
S100A7,0.06437258899649141,0.13195864614817876,549,0.2601343294219578
CST1,0.06484358030051544,0.12914855921873783,549,0.2565225140167417
C6orf15,0.07759943917142144,0.06924634816811488,549,0.16453044920432175
AKR1B10,0.045531140333756374,0.2868987844109544,549,0.45261090280216687
GLYATL2,-0.10839682998559268,0.0110370825861209,549,0.040319842322422916
MYBL2,-0.07091989658460882,0.0969125330211787,549,0.21215496461003353
KRT16,0.07920046185974848,0.06368048265934503,549,0.15672101942899863
JSRP1,-0.018844445411395277,0.659522723172278,549,0.7915626934172412
DEFA6,0.005318838056021614,0.9010451367708504,549,0.9438367068863119
SPRR3,-0.015434854350117794,0.7182135255059326,549,0.827999616682875
CEACAM5,0.12741590966506772,0.002782072234537663,549,0.013439018356093093
KRT5,0.03980288995999662,0.35192869236328533,549,0.5221705122871495
SFTPB,-0.04023106511643758,0.3467681969033777,549,0.5163974804841382
PRAME,-0.08616764751741418,0.043578186152275065,549,0.11737995302306349
GPX2,0.18746059825599704,9.79781284435019e-06,549,0.0001112004195635473
KRT31,-0.02047506086976348,0.6321501207784481,549,0.768973455972951
OLFM4,0.09291094330506705,0.02950136645774035,549,0.08600273663116827
CTSV,-0.06694529354814148,0.11717052549100268,549,0.2394621403828359
CDC20,-0.12142257806012743,0.004384504395617279,549,0.01934145523953434
NXPH4,-0.13583241775176683,0.0014217506213080881,549,0.007839747529760166
ZIC2,0.04921425190674999,0.2496515386381239,549,0.4110459840393899
CAPN13,0.04226375276034246,0.3229293730285955,549,0.4928256358621777
KIF1A,-0.06833650737970542,0.10973260820790771,549,0.23071478236518725
PITX1,0.010165022245912519,0.8121623673772933,549,0.8914721196845595
S100A8,0.251777388580069,2.197015478704832e-09,549,5.136622189211897e-08
MMP9,0.26714654987640757,2.0025377713544145e-10,549,5.573730130269787e-09
UBE2C,-0.12581026249088953,0.003148542875686277,549,0.01472258648670903
FGF3,0.04628315226912844,0.27900493173616303,549,0.44227263988191423
TMPRSS4,0.01037707456278714,0.8083191724207097,549,0.8885355745215213
TFAP2A,-0.015911466559025707,0.709899265202427,549,0.8238137518679216
CCNE1,-0.028762315025328073,0.5012490925562463,549,0.6653822487009654
AQP5,-0.0729559324246413,0.08767488842540581,549,0.1982436065170201
CST2,0.17632514716411596,3.2584464567512265e-05,549,0.00031462436452377174
EEF1A2,0.1159212263777009,0.006545931452176212,549,0.027232006646241962
CA9,-0.16846381730431034,7.289883963046031e-05,549,0.00062203462429203
CEACAM6,0.18204321494582132,1.773919620772272e-05,549,0.0001835143395294501
COL26A1,-0.00937178430297563,0.8265781952117538,549,0.8996926538198697
TPX2,-0.04791620887588341,0.2623740380538319,549,0.423602552518351
ODAM,0.2381149560180299,1.6239029118394318e-08,549,3.3304254455092906e-07
NTS,0.10282789845233126,0.0159422425765932,549,0.05294454992056094
UPK1B,0.07422557948298154,0.0822822993004089,549,0.18897447521056582
ANPEP,0.05090278155492945,0.23375414368864372,549,0.39204963267148424
HOXB13,-0.07556378643313852,0.07689212709608845,549,0.1801340612732012
GFRA3,-0.05163330839143529,0.2271028817339762,549,0.38427039949937103
MAL,-0.008115787527059517,0.8495217421733072,549,0.9179803845840131
POU3F3,-0.019562230644205845,0.647414632106366,549,0.7825084733073506
ASF1B,-0.11198748282151419,0.008633504566452134,549,0.03347532782697401
AURKB,-0.05080901149825406,0.23461776632511752,549,0.3924291798250476
ZIC1,-0.06964164365413938,0.10309808012243542,549,0.22143091421814756
AMBN,0.07048380487671685,0.09898866184346411,549,0.21589131659516705
H3C2,-0.031770264368578945,0.4575470977429424,549,0.6255819383175435
FOXM1,-0.011771876960341722,0.7831589321487842,549,0.8710873374709122
UPK2,-0.12402064928855344,0.0036083073673444264,549,0.016412884484146437
MMP12,0.2508568030429943,2.5235354294631414e-09,549,5.784339053024338e-08
KRT6B,0.02410076381319417,0.5730987441248924,549,0.7236710467940645
GRIN2D,0.07199847110566848,0.09192669878031731,549,0.20424658299964524
KIFC1,-0.08728317034168417,0.040918819310036915,549,0.11176191535848867
MELK,0.028799410720804237,0.500697030053771,549,0.6653822487009654
TK1,-0.07820923123783002,0.06708118951152232,549,0.16162057667085683
CHGA,0.1043614389735623,0.014430016089128802,549,0.04963890939794722
PIGR,0.06542684231328483,0.1257331385098625,549,0.25385498949573276
PTTG1,-0.10547485142196164,0.013412578696817796,549,0.0468038940196418
CXCL5,0.23906528538077623,1.4184430917160555e-08,549,2.960999953957266e-07
CDCA8,-0.05444254680344187,0.20278148854287656,549,0.3532810135717179
B3GNT3,0.08244172155517826,0.053538000563669655,549,0.13846443066134917
PLK1,-0.047653609204404944,0.26500122722394237,549,0.42494709825073884
MUC5B,0.08763386621280127,0.04011164354090757,549,0.11033061482193164
PDIA2,0.019329395776529132,0.6513322613674474,549,0.7849560964314907
TOP2A,0.002925147127612128,0.9454812970952599,549,0.9743676377333963
CCNB2,-0.06908082862851321,0.1059088753624425,549,0.22469596242957404
TROAP,-0.1869113207021391,1.0413763345532465e-05,549,0.00011705470529737935
AKR1C2,0.08325956313914856,0.051203075504381336,549,0.13331045715951398
NEK2,0.0006473977540149612,0.9879249235129063,549,0.9947323303932708
CEACAM7,0.1373748063754729,0.0012519653087267877,549,0.007002619358380932
PAGE2,-0.1119632338048635,0.008648031654188324,549,0.03347532782697401
KANK4,-0.07575735819363917,0.07613675400916171,549,0.1787226213588555
KIF2C,-0.0725937609915114,0.08926419878060024,549,0.199903924089122
DLGAP5,0.02222466377306631,0.6033299881928179,549,0.7458177594422023
CEP55,0.01830807778635947,0.6686291951695453,549,0.798828709403647
PBK,-0.05527712206424664,0.1959345555599549,549,0.3433995434026796
ALPP,0.0027963678837633426,0.9478779901083685,549,0.9745552950190701
TMPRSS13,-0.06349588985463103,0.13731485250875788,549,0.2680765760839754
SULT2B1,-0.037378392179968634,0.3820567012810587,549,0.5520695720612578
SAPCD2,-0.19167085477244628,6.103989105229066e-06,549,7.432878400013311e-05
PKMYT1,-0.06706306815915528,0.11652595157774635,549,0.23857352917156188
RHCG,0.0011159677816176825,0.9791868523173829,549,0.9915743346804241
CDC45,0.0010430015309793193,0.980547417357203,549,0.9915743346804241
CLPSL1,-0.0596311856844139,0.1629372735310455,549,0.30090627607866066
BUB1,0.03413092272491579,0.42479918212856405,549,0.593297782447182
NCCRP1,0.1407129488224822,0.0009465237913384043,549,0.005550736922278376
MKI67,0.0017336582602437858,0.9676719003205393,549,0.9836595230214874
GAD1,0.031671292197163206,0.45895026174235715,549,0.6260360046403916
WNT7A,0.07457302505665327,0.08085428198896553,549,0.18642732868856154
ZWINT,-0.08649290560263398,0.04278815158982164,549,0.11620647384576928
MAGEA4,-0.014273827359128325,0.7386050604409935,549,0.837716120836567
CENPF,-0.04767913670629957,0.2647450459477727,549,0.42494709825073884
CCL18,0.3287167532598382,2.6737899688341184e-15,549,1.077813956402443e-13
HJURP,-0.08383101083831013,0.04962256753470697,549,0.12977356028651554
INA,-0.006663732211467393,0.8762047866196606,549,0.9300956707337835
IVL,0.003660362145976521,0.9318083802622203,549,0.9648214989713165
ACTL8,-0.14333583168976188,0.0007565555130921392,549,0.0046548073410774245
BPIFA1,0.0180096717160805,0.6737167840674184,549,0.8011538533209002
IQGAP3,-0.059510118536084795,0.1637944049334567,549,0.3020120810208374
H1-5,0.016736823951243464,0.695582959625817,549,0.8147660118262324
