gene,log2FC,mean_tumor_tpm,mean_normal_tpm,pvalue,FDR
TSHB,-1.0427588647399897,0.05095956284153005,1.1651485714285714,1.0193646428434502e-36,1.6817477877631243e-32
SLITRK3,-3.446451386545128,0.08063624772313296,10.78052857142857,2.8278263783603977e-25,2.332673979509492e-21
CLEC4M,-1.2525411518124536,0.07061347905282332,1.5508514285714283,3.77054370969874e-24,2.0735476707536602e-20
NKAPL,-1.345597840671212,0.1669174863387978,1.9655514285714284,1.4058279920827732e-22,7.731116737793864e-20
SEL1L2,-1.674030831904496,0.06343260473588343,2.393465714285714,1.1365658363118848e-22,7.731116737793864e-20
GSTM5,-4.213125435777878,0.8330812386156647,32.998428571428576,1.124861429843072e-22,7.731116737793864e-20
GYPC,-2.7081155040633997,9.237927322404373,65.90152857142859,1.1718838790466422e-22,7.731116737793864e-20
TCEAL1,-2.4415751008637425,23.608156284153004,132.6799942857143,9.355808879766586e-23,7.731116737793864e-20
RERG,-4.643393183818418,3.7719908925318757,118.26149142857145,8.104482878108368e-23,7.731116737793864e-20
TNS2,-2.505504054548263,17.68385519125683,105.09584285714286,1.0154796584381314e-22,7.731116737793864e-20
KLHDC1,-1.935694601074033,1.5500752276867031,8.755625714285717,8.618976442741976e-23,7.731116737793864e-20
CSRP1,-3.1022334215615563,72.9968641165756,634.4459685714285,1.3799858990529205e-22,7.731116737793864e-20
STAT5B,-1.9891991818374253,25.762217304189434,105.25043428571428,1.3113005515796e-22,7.731116737793864e-20
GPRASP1,-3.3771744622912783,2.034734790528233,30.53200285714286,7.858700284145097e-23,7.731116737793864e-20
NPY5R,-0.6299948428765707,0.08067668488160291,0.6724114285714285,2.3451665733085546e-23,7.731116737793864e-20
TCEAL6,-3.205470212446688,0.17908561020036431,9.876471428571431,5.858465371944906e-23,7.731116737793864e-20
MAMDC2,-4.533053450423046,1.7143142076502733,61.84130285714286,1.3935518000689547e-22,7.731116737793864e-20
CCL14,-1.9872758818161758,0.08959981785063752,3.320128571428571,5.277692653218328e-23,7.731116737793864e-20
ASPA,-2.5059612076223257,0.12336630236794173,5.381031428571428,4.706154875511608e-23,7.731116737793864e-20
MAOB,-3.348330015780528,26.929083242258653,283.4490257142857,1.2979774424770102e-22,7.731116737793864e-20
OGN,-5.468433783637247,2.337766120218579,146.78096571428568,8.029305845017508e-23,7.731116737793864e-20
RSPO1,-4.548844184917317,2.3152083788706737,76.5977942857143,1.201940647168978e-22,7.731116737793864e-20
MAS1L,-0.3792248218936099,0.014535701275045538,0.31954857142857146,6.179057757616728e-23,7.731116737793864e-20
KLHL4,-2.549531758238878,0.14235938069216758,5.687877142857143,1.2067238314075778e-22,7.731116737793864e-20
SPARCL1,-4.293573564765168,97.96113916211293,1939.7031800000002,9.260415222628603e-23,7.731116737793864e-20
NDN,-3.6542337765657997,15.968810382513663,212.64137999999997,4.5541873101328834e-23,7.731116737793864e-20
