gene,log2FC,FDR,mean_tumor_tpm,mut_freq_pct,km_logrank_p,apc_spearman_r,apc_spearman_p,prognostic,apc_positive
CLDN6,5.775341594001239,4.792924646149326e-05,81.48660746812386,1.183431952662722,6.739408025568392e-05,-0.010275994365582377,0.8101505611156828,True,False
LEFTY1,5.425290498627272,8.249926703002336e-12,76.65026484517304,1.5779092702169626,0.22559674541053154,0.06000765390429809,0.16029350675324106,False,True
AOC1,5.363321741565171,1.93630899282183e-12,109.32878852459017,6.508875739644971,0.2803373509652116,0.042893203044923466,0.31576875296425694,False,True
KRT6A,5.262388434120097,1.6448897797365464e-11,66.38255846994535,3.7475345167652856,0.9481916967558923,-0.07262325649785685,0.08913390458972612,False,False
PI3,5.235912234155904,9.293411174252708e-14,367.6491151183971,1.5779092702169626,0.9486614598801383,0.07121277519504202,0.09553780654782222,False,True
ALPG,5.140434939922768,1.5355274739224042e-07,134.58633169398908,2.9585798816568047,0.48829655527520477,0.0981810581558453,0.021404436493259203,False,True
S100A7,5.063278560133333,0.0026684922978357085,46.62051621129326,1.5779092702169626,0.3143558032792325,-0.031130816802312045,0.46665505057114465,False,False
CST1,5.053133246194571,0.04383598712989256,302.1178524590164,2.9585798816568047,0.44456755619320487,-0.014847918168981252,0.7284981399187097,False,False
C6orf15,4.771424371521677,4.326606742984023e-09,29.874529690346083,2.9585798816568047,0.5237063967175213,-0.06122965915612335,0.15193462507824101,False,False
AKR1B10,4.716843853693743,2.328640951777667e-08,39.565118214936255,2.1696252465483234,0.6749321803433169,0.054092447510103135,0.2057049059969746,False,True
GLYATL2,4.407909313656404,5.712458957533719e-06,47.730154280510014,3.353057199211045,0.028517428081543596,-0.05799274166436787,0.17482620103456115,True,False
MYBL2,4.369035749536791,1.1167162447465262e-19,127.53002404371585,5.719921104536489,0.006944320568301156,-0.031751063343740143,0.4578191296429978,True,False
KRT16,4.360391600358187,1.2246713352397633e-10,47.30348306010929,4.142011834319527,0.38910231993814004,-0.07436023943882715,0.08172643894657586,False,False
JSRP1,4.356139320947368,2.69944260408094e-17,29.885674863387983,1.9723865877712032,0.09078173617485855,0.02491491437046062,0.5602063967643012,False,True
DEFA6,4.3148896406195485,0.024819286651899,19.212918032786884,1.5779092702169626,0.7468682857136713,-0.033637572206518515,0.43152793663506195,False,False
SPRR3,4.214272411079166,1.483300709630066e-05,20.563729326047362,1.5779092702169626,0.6385573042143398,-0.18305417065007712,1.5899677724838707e-05,False,False
CEACAM5,4.16144923869182,1.7839161236901247e-09,28.515339890710386,4.142011834319527,0.549101364214439,0.05520471020311119,0.19652184928471045,False,True
KRT5,4.142002012698239,8.142798574728917e-08,114.9581597449909,3.9447731755424074,0.39828349558942544,-0.028616114135209834,0.503427998498267,False,False
SFTPB,4.116246349853597,0.0003055513498327907,18.670842258652097,1.7751479289940828,0.048047620328989585,-0.01900309861068611,0.6568386412672776,True,False
PRAME,3.9826371531490183,3.176971612283301e-19,224.3064298724954,3.353057199211045,0.6224209742033885,-0.06803296818852642,0.11132284805533006,False,False
GPX2,3.947728628183162,0.023207316920275094,68.13843132969035,1.5779092702169626,0.013404376203546592,0.043893932626381964,0.30460017605707995,True,True
KRT31,3.9452170979796124,0.00038949004317517273,15.89483151183971,3.353057199211045,0.801325888374997,-0.11841564962331332,0.005469064837936928,False,False
OLFM4,3.9365282837799196,0.010104339927633009,107.17126539162115,4.142011834319527,0.943023366207992,0.13461908714671042,0.001569919474949599,False,True
CTSV,3.872114928622387,1.5386807837242635e-16,67.01065154826958,3.5502958579881656,0.0038630616130829196,0.04014424488996704,0.3478106785602958,True,True
CDC20,3.862583443050245,1.4364252849938691e-19,149.84940473588338,1.9723865877712032,0.1982764264231224,-0.0630482883157288,0.14011318916304477,False,False
NXPH4,3.795389374241648,6.905068707319523e-15,21.59517887067395,1.3806706114398422,0.01908442272487968,-0.03487513643071858,0.41476546449869506,True,False
ZIC2,3.766550915782981,3.7958202485333626e-11,13.602926593806922,1.3806706114398422,0.1203024028991612,0.03810527845525589,0.37286271351902606,False,True
CAPN13,3.7659706431125115,4.969938990211129e-13,34.508125683060115,5.128205128205128,0.6742264490861316,-0.015225922017832993,0.7218688307420108,False,False
KIF1A,3.7491765985883077,1.5943367588014348e-11,20.821518397085608,8.875739644970414,0.0043842587696820345,-0.07755139182089037,0.06941935287781521,True,False
PITX1,3.7210974594237327,1.889093714174611e-16,24.3614160291439,3.155818540433925,0.7406010161495449,0.05682799032565696,0.18366259110169084,False,True
S100A8,3.699034902341706,4.586517952097918e-08,150.6164096539162,1.183431952662722,0.2850671169547043,0.21862296532393458,2.297035554139913e-07,False,True
MMP9,3.6934583787361994,3.880732188962785e-14,67.27075919854279,4.930966469428008,0.05800063704353608,0.48853762545416957,2.8295424300211808e-34,False,True
UBE2C,3.6867684939855434,5.670879424109044e-19,199.98131438979962,1.3806706114398422,0.010358766722700767,-0.14328514292137604,0.0007598651358795794,True,False
FGF3,3.672982857345378,6.644865376848022e-06,12.226022222222223,1.3806706114398422,0.6463358610172183,-0.035308272868960024,0.4089906781442834,False,False
TMPRSS4,3.6338935374516805,1.959031593730161e-17,46.988783970856105,2.7613412228796843,0.6612380547042466,0.013288297598456749,0.7560600019216694,False,True
