gene,mut_freq_pct,n_mut_samples
PTEN,65.48323471400394,332
PIK3CA,49.30966469428008,250
ARID1A,45.75936883629191,232
TTN,37.47534516765286,190
TP53,37.278106508875744,189
PIK3R1,32.149901380670606,163
KMT2D,27.021696252465482,137
CTNNB1,25.04930966469428,127
MUC16,24.2603550295858,123
CTCF,24.2603550295858,123
CSMD3,23.274161735700197,118
ZFHX3,22.682445759368836,115
RYR2,22.287968441814595,113
KMT2B,22.090729783037474,112
OBSCN,21.301775147928996,108
DST,20.907297830374755,106
CHD4,20.118343195266274,102
MUC5B,20.118343195266274,102
ZFHX4,19.92110453648915,101
FAT1,19.723865877712033,100
DNAH7,19.526627218934912,99
MACF1,19.526627218934912,99
SYNE1,19.526627218934912,99
FAT4,19.13214990138067,97
TAF1,19.13214990138067,97
ARHGAP35,18.73767258382643,95
PCLO,18.73767258382643,95
DMD,18.34319526627219,93
USH2A,18.34319526627219,93
DNAH5,18.34319526627219,93
FAT3,18.34319526627219,93
ATM,18.34319526627219,93
FBXW7,18.14595660749507,92
KRAS,18.14595660749507,92
LRP1B,18.14595660749507,92
RYR1,18.14595660749507,92
DNAH10,17.75147928994083,90
DOCK3,17.75147928994083,90
RNF43,17.75147928994083,90
RYR3,17.75147928994083,90
CHD3,17.554240631163708,89
LRP2,17.554240631163708,89
NEB,17.554240631163708,89
HUWE1,17.554240631163708,89
MDN1,17.357001972386588,88
RPL22,17.357001972386588,88
MED12,17.159763313609467,87
NSD1,17.159763313609467,87
FAT2,17.159763313609467,87
KMT2C,17.159763313609467,87
JAK1,17.159763313609467,87
NBEA,17.159763313609467,87
TENM1,17.159763313609467,87
HMCN1,17.159763313609467,87
HERC2,16.962524654832347,86
ZNF292,16.962524654832347,86
FLG,16.765285996055226,85
CSMD1,16.765285996055226,85
MKI67,16.765285996055226,85
DNAH8,16.765285996055226,85
ABCA13,16.765285996055226,85
CACNA1E,16.56804733727811,84
SACS,16.56804733727811,84
AHNAK,16.56804733727811,84
ADGRV1,16.56804733727811,84
AHNAK2,16.56804733727811,84
ADGRG4,16.370808678500985,83
SYNE2,16.370808678500985,83
UBR4,16.370808678500985,83
ANK3,16.173570019723865,82
PRKDC,16.173570019723865,82
LRP1,15.976331360946746,81
APOB,15.779092702169626,80
DNAH11,15.779092702169626,80
DNAH2,15.779092702169626,80
LAMA2,15.581854043392504,79
MUC17,15.581854043392504,79
POLE,15.581854043392504,79
BCOR,15.581854043392504,79
UTRN,15.384615384615385,78
SPTA1,15.384615384615385,78
PKHD1L1,15.384615384615385,78
TRRAP,15.384615384615385,78
DNAH9,15.384615384615385,78
NIPBL,15.384615384615385,78
AKAP9,15.384615384615385,78
CEP290,15.384615384615385,78
SYCP2,15.187376725838265,77
DYNC2H1,15.187376725838265,77
INPPL1,15.187376725838265,77
DYNC1H1,14.990138067061142,76
KIAA1109,14.990138067061142,76
ASH1L,14.990138067061142,76
ARID5B,14.990138067061142,76
USP9X,14.990138067061142,76
ASPM,14.990138067061142,76
CSMD2,14.990138067061142,76
BCORL1,14.990138067061142,76
DCHS1,14.792899408284024,75
TG,14.792899408284024,75
PCDH15,14.792899408284024,75
DNAH3,14.792899408284024,75
SZT2,14.792899408284024,75
MGA,14.792899408284024,75
FLNA,14.792899408284024,75
ABCA12,14.792899408284024,75
SI,14.792899408284024,75
USP34,14.595660749506903,74
TRIO,14.595660749506903,74
FRAS1,14.595660749506903,74
DOCK11,14.595660749506903,74
XIRP2,14.595660749506903,74
MSH6,14.595660749506903,74
LRRK2,14.595660749506903,74
TENM3,14.398422090729785,73
F8,14.398422090729785,73
FGFR2,14.398422090729785,73
PPP2R1A,14.398422090729785,73
VPS13A,14.201183431952662,72
CUBN,14.201183431952662,72
DNAH17,14.201183431952662,72
HECTD4,14.201183431952662,72
CEP350,14.201183431952662,72
TTK,14.201183431952662,72
MYO3A,14.201183431952662,72
ATRX,14.201183431952662,72
DNAH1,14.201183431952662,72
FCGBP,14.201183431952662,72
LYST,14.003944773175542,71
KALRN,14.003944773175542,71
REV3L,14.003944773175542,71
BRCA2,13.806706114398423,70
ANK2,13.806706114398423,70
PKHD1,13.806706114398423,70
NAV2,13.806706114398423,70
BSN,13.806706114398423,70
BRWD3,13.806706114398423,70
CDH23,13.806706114398423,70
TTC3,13.806706114398423,70
APC,13.806706114398423,70
BIRC6,13.609467455621301,69
NAV3,13.609467455621301,69
NF1,13.609467455621301,69
VPS13D,13.609467455621301,69
COL11A1,13.609467455621301,69
SMG1,13.609467455621301,69
KANSL1,13.609467455621301,69
ACVR2A,13.609467455621301,69
FN1,13.609467455621301,69
WDFY3,13.41222879684418,68
SVEP1,13.41222879684418,68
LAMA1,13.41222879684418,68
FBN3,13.41222879684418,68
