gene,log2FC,FDR,mean_tumor_tpm,mut_freq_pct,km_logrank_p,apc_spearman_r,apc_spearman_p,prognostic,apc_positive,antigen,cdc1_rho,cdc1_FDR
CTLA4,1.262244236423593,5.177292567616469e-07,2.960353734061931,2.366863905325444,0.0011384613659524,0.6125420808498457,7.550760729820368e-58,True,True,CTLA4,0.5478972915970306,1.4482144077344424e-41
BCL2A1,1.066776515900261,3.0996454075698746e-05,9.738945719489983,1.3806706114398422,0.0259386091527653,0.6796399316849241,1.225397018792372e-75,True,True,BCL2A1,0.5153978700490607,3.2675269828644005e-36
GBP5,1.5601688008379528,0.0012163076988777,7.645460655737707,4.930966469428008,0.001661141624425,0.6412019798536155,6.651636241773168e-65,True,True,GBP5,0.4980645602500638,1.3837699920672429e-33
CXCL9,2.192034427217195,0.0036758380273752,36.63056666666666,1.5779092702169626,0.0003932828143765,0.6096229254372129,3.600571337996182e-57,True,True,CXCL9,0.4978130473092781,1.3837699920672429e-33
PDCD1,1.2721917050016265,0.0004508509872721,5.607728779599272,2.9585798816568047,0.0006620108396584,0.5259376575922273,2.228840077052706e-40,True,True,PDCD1,0.4876174652729419,4.574998234377132e-32
FOXP3,1.3484931063696115,5.692708011945236e-15,3.9421551912568304,3.7475345167652856,0.0033604559933342,0.5963845803875029,3.5163525426224407e-54,True,True,FOXP3,0.4693920345996295,2.1021266591950085e-29
CXCL11,1.41234734345818,0.0004826765711676,13.367979599271402,1.183431952662722,0.0410475995022011,0.5845055756118437,1.2971100007042734e-51,True,True,CXCL11,0.4636546226933936,1.267318795298685e-28
BATF,1.3861566128213063,7.723480626678679e-08,16.742742805100185,1.5779092702169626,3.277108380344724e-05,0.5589526050898695,1.9506054491501103e-46,True,True,BATF,0.4383020823571291,2.432757736329044e-25
SIGLEC1,1.0074889580217548,3.2924722737794124e-05,4.445399271402549,7.6923076923076925,0.0330438299527897,0.6322414620471668,1.2842095872106588e-62,True,True,SIGLEC1,0.3954799203338833,3.1331279647702254e-20
IL32,1.516527043284862,1.7305100810399764e-06,88.30682732240437,1.5779092702169626,0.0003183615512031,0.4834710875658584,1.667380385034087e-33,True,True,IL32,0.3554432683904983,4.364431783137887e-16
ADAM8,1.1403552820575693,3.731029073398233e-09,14.523620765027324,3.5502958579881656,0.0245803422105851,0.5196554512457349,2.6725283300286678e-39,True,True,ADAM8,0.337251297224972,2.1227177481415215e-14
