sample_id,subtype,TMB,immune_score,CD274,PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,IDO1,VTCN1,CD276,PDCD1LG2,CD8 T_score,Treg_score,Cytotoxic_score,NK_score,B cell_score,Macrophage_score,DC_score,Neutrophil_score
TCGA-BG-A0MS-01A,IS1,1.0,2.968470875534955,1.5048,2.8108,1.4779,3.34,6.3108,1.0621,21.3086,160.2885,92.4665,1.1231,2.2646886747696913,1.8995297734293068,2.901453050445545,1.311010973909282,1.270837241815279,1.5610398715473357,1.3014710146576336,3.2587648124285296
TCGA-AP-A1E3-01A,IS1,0.9210526315789473,2.5382032356454864,0.8213,2.7582,2.4213,10.804,2.476,1.8003,18.2063,0.5175,57.6124,0.991,1.9158013387475235,2.1411035354831665,2.4940356878466785,1.3615149831729618,2.204834518755909,0.9938128821115825,1.57365658801282,1.8074549374218531
TCGA-D1-A0ZQ-01A,IS1,1.7105263157894737,2.414612354331044,1.6176,2.1126,0.7245,7.3931,3.6894,0.5637,12.3199,20.5624,32.2235,1.8671,1.957111553888284,1.1165108616596127,2.17715054786367,1.1260926526892183,1.2160100685931363,1.4706378880971254,1.0843244278910766,1.4990446414502892
TCGA-AP-A5FX-01A,IS1,0.8421052631578947,2.67104514818818,1.2537,4.5343,3.2795,5.2597,5.4624,2.4252,58.8367,135.5384,26.2132,1.5127,2.163820769600206,2.028170912007272,2.502033631213798,1.2355931346203026,2.9936179320661283,0.7586479738139809,1.246993744203376,1.295592939722314
TCGA-AX-A05S-01A,IS1,12.789473684210526,2.8389520430966644,1.1603,1.6236,1.0606,5.7932,6.3598,1.2297,45.2258,240.1718,61.9398,1.1199,1.7550887968838451,1.4597888721557533,2.62550820771661,1.535659017249259,1.1720624770801924,0.9155806681058006,1.427409251100037,5.29325697182556
TCGA-AX-A05T-01A,IS1,1.0789473684210527,2.6504908485347296,0.9788,0.0,12.0256,0.7895,11.3922,0.4621,26.1692,284.0115,123.0817,0.496,3.238713972960108,1.6824141053656032,3.264616156384163,0.7704317891244764,0.9593789640717313,1.42924130135819,1.0591003892481834,1.582226282579228
TCGA-BS-A0V7-01A,IS1,1.368421052631579,2.4856206500824376,0.169,6.1258,5.516,15.602,4.3236,1.463,4.7114,5.2377,26.388,1.3324,2.492251301889281,1.3158908525734407,2.995804993479368,1.4171417818953433,1.5841089013003173,1.3018020356119797,1.7095032096273082,1.944126820382193
TCGA-BS-A0UJ-01A,IS1,38.8421052631579,2.572884691887888,0.8,5.1982,1.9851,6.0061,5.1155,1.3817,54.4147,1.933,29.0808,0.8569,1.9407054548793905,1.619634877994474,1.8816586370882686,1.1564065817774585,1.3989263063881534,0.5259996395602543,1.4927514929480117,1.2808051663376527
TCGA-BS-A0U5-01A,IS1,1.2105263157894737,2.555705653884661,0.8297,0.5201,0.9556,1.4722,4.2868,0.6043,43.463,443.0389,86.344,1.5135,2.9981123200224733,1.6272723180669892,1.9666190288534462,1.2180527005371238,1.39172140728147,0.686825256450759,1.1858916582793673,1.3447764301949008
TCGA-AP-A1E0-01A,IS1,114.3157894736842,2.663962591751688,0.9539,2.8654,2.7468,6.8818,5.6935,2.4234,23.8182,7.2498,96.6944,0.6445,1.8335352293229796,1.851863755777045,2.726269159952811,1.587134847418993,1.1526592050399775,0.8479679701495968,1.2711399784598387,0.7354040191866398
TCGA-BS-A0TG-01A,IS1,0.8421052631578947,2.9961747113744543,2.1976,2.1525,1.1718,8.1236,7.612,0.6175,66.5736,18.4325,96.5872,1.4951,1.6013191217504008,1.5261041990284507,3.611065432438352,1.4206180889444542,1.3115034703656765,1.3616842213927354,1.2477964786366909,3.392039948096125
