antigen,HLA-A0101,HLA-A0201,HLA-A0301,HLA-A2402,HLA-B0702,HLA-B0801
CCNE1,35,45,42,7,30,10
CLDN6,31,53,11,1,33,5
CTSV,19,24,30,8,20,8
MAL,23,37,14,9,20,0
MUC16,934,2378,738,76,934,175
VTCN1,28,45,24,7,26,7
